id,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
357,Hyundai Creta,2020,27959,1,PETROL,HR-26,Manual,SUV,1141000
358,Maruti Baleno,2021,23851,2,PETROL,GJ-16,Automatic,HatchBack,814000
359,Volkswagen Vento,2020,22192,2,PETROL,TS-07,Manual,Sedan,809000
360,Maruti Baleno,2017,100102,1,PETROL,,Manual,HatchBack,485000
361,Maruti Alto,2019,42839,1,PETROL,GJ-03,Manual,HatchBack,380000
362,Maruti Swift,2012,99428,3,CNG,MH-15,Manual,HatchBack,331200
363,Hyundai Creta,2015,93177,1,PETROL,WB-12,Manual,SUV,571000
364,Tata NEXON,2022,21009,1,PETROL,GJ-01,Automatic,SUV,1222000
365,Renault Kwid,2020,10916,2,PETROL,KA-51,Automatic,HatchBack,560000
366,Hyundai GRAND I10 NIOS,2019,6327,1,PETROL,TS-09,Automatic,HatchBack,764000
367,Maruti S Cross,2017,113633,1,DIESEL,MH-43,Manual,SUV,728000
368,Tata Tiago,2019,68766,1,PETROL,RJ-45,Manual,HatchBack,531000
369,Renault Kiger,2021,48938,2,PETROL,KA-03,Automatic,HatchBack,1013000
370,Maruti Ciaz,2016,63155,2,DIESEL,TN-07,Manual,Sedan,674000
371,Skoda Octavia,2016,38959,1,PETROL,MH-09,Automatic,Lux_sedan,1281000
372,Honda City,2017,40586,1,PETROL,GJ-27,Manual,Sedan,833000
373,Maruti Wagon R 1.0,2018,43528,2,PETROL,TS-08,Manual,HatchBack,424350
374,Volkswagen Polo,2018,50781,2,PETROL,KA-02,Automatic,HatchBack,834000
375,Honda Brio,2015,34105,1,PETROL,DL-3C,Manual,HatchBack,345000
376,Maruti Alto K10,2019,26520,2,PETROL,UP-32,Automatic,HatchBack,387000
377,Hyundai Grand i10,2018,44690,1,PETROL,MH-06,Manual,HatchBack,491000
378,Hyundai Grand i10,2017,40570,1,PETROL,TS-09,Automatic,HatchBack,638000
379,Maruti Swift,2019,51622,1,PETROL,HR-51,Manual,HatchBack,545000
380,Ford FREESTYLE,2018,63517,1,DIESEL,UP-16,Manual,SUV,555000
381,Maruti Vitara Brezza,2019,68272,1,DIESEL,PB-91,Manual,SUV,767000
382,Hyundai Grand i10,2014,98211,2,PETROL,KA-19,Manual,HatchBack,398000
383,Ford Ecosport,2019,34446,2,PETROL,MH-02,Automatic,SUV,710000
384,Maruti Dzire,2017,91412,2,PETROL,TN-14,Automatic,Sedan,545000
385,Hyundai NEW I20,2021,60157,1,PETROL,MH-14,Manual,HatchBack,796000
386,Maruti Baleno,2017,63801,1,PETROL,DL-9C,Manual,HatchBack,535000
387,Maruti Celerio,2014,77796,2,PETROL,MH-01,Manual,HatchBack,294000
388,Hyundai Grand i10,2017,49809,1,PETROL,GJ-06,Manual,HatchBack,492000
389,Maruti Alto 800,2015,111283,2,PETROL,,Manual,HatchBack,274000
390,Maruti Baleno,2016,35748,1,PETROL,MP-09,Manual,HatchBack,513000
391,Maruti Wagon R 1.0,2017,94753,1,PETROL,TN-37,Manual,HatchBack,401000
392,Maruti Swift,2017,49602,2,PETROL,TS-33,Manual,HatchBack,602650
