id,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
1398,Hyundai Elite i20,2016,46369,1,PETROL,KA-53,Manual,HatchBack,665000
1399,Datsun Redi Go,2018,30685,2,PETROL,KA-51,Manual,HatchBack,322000
1400,Tata Hexa,2020,10032,1,DIESEL,MH-03,Automatic,SUV,1588000
1401,Maruti Celerio,2018,37934,1,PETROL,HR-72,Manual,HatchBack,357000
1402,Maruti Vitara Brezza,2019,89657,1,DIESEL,WB-02,Automatic,SUV,704000
1403,Tata Tiago,2017,91033,1,PETROL,DL-1C,Manual,HatchBack,385000
1404,Hyundai Creta,2015,82997,2,DIESEL,CH-01,Manual,SUV,683000
1405,KIA SELTOS,2020,23979,1,PETROL,KA-01,Manual,SUV,1552000
1406,Renault Kwid,2019,31850,1,PETROL,RJ-28,Manual,HatchBack,357000
1407,Maruti Celerio,2022,46679,1,PETROL,KA-02,Manual,HatchBack,606000
1408,Hyundai VENUE,2021,50543,1,PETROL,UP-32,Manual,SUV,805000
1409,Hyundai Eon,2016,68336,2,PETROL,TS-07,Manual,HatchBack,311000
1410,Maruti S Cross,2020,40195,1,PETROL,RJ-13,Manual,SUV,1003000
1411,Ford Ecosport,2015,81297,1,PETROL,DL-8C,Manual,SUV,529000
1412,Maruti Dzire,2017,63690,1,PETROL,GJ-01,Manual,Sedan,734000
1413,Maruti Wagon R 1.0,2018,60221,2,PETROL,TN-30,Manual,HatchBack,441000
1414,Maruti Ciaz,2015,59890,2,PETROL,HR-26,Manual,Sedan,462000
1415,Maruti Swift,2013,37136,1,PETROL,DL-13,Manual,HatchBack,326000
1416,Hyundai Grand i10,2018,82686,1,CNG,UP-14,Manual,HatchBack,467000
1417,Hyundai Elite i20,2018,21333,1,PETROL,MH-04,Manual,HatchBack,637000
1418,Hyundai Grand i10,2016,34488,1,PETROL,TS-13,Manual,HatchBack,511000
1419,Maruti Baleno,2016,98059,1,PETROL,HR-29,Manual,HatchBack,439000
1420,Nissan MAGNITE,2021,14740,1,PETROL,UP-16,Manual,SUV,737000
1421,Hyundai Grand i10,2013,51987,1,PETROL,MH-02,Manual,HatchBack,322000
1422,Maruti Celerio,2018,66387,2,PETROL,HR-26,Automatic,HatchBack,441000
1423,Maruti Zen Estilo,2012,111170,2,PETROL,,Manual,HatchBack,163000
1424,Toyota Etios Liva,2011,78075,1,PETROL,WB-06,Manual,HatchBack,203000
1425,Nissan Micra Active,2017,32366,1,PETROL,MH-49,Manual,HatchBack,335000
1426,Maruti Celerio,2015,60292,1,CNG,MH-46,Manual,HatchBack,402000
1427,Mahindra XUV500,2019,36847,1,DIESEL,KA-03,Manual,Lux_SUV,1756000
1428,Hyundai Creta,2021,24849,1,PETROL,HR-51,Manual,SUV,1175000
1429,Maruti S PRESSO,2021,45479,1,CNG,DL-8C,Manual,HatchBack,512000
1430,Renault Kwid,2017,88979,1,PETROL,GJ-07,Manual,HatchBack,282000
1431,Hyundai Grand i10,2016,41285,1,PETROL,DL-2C,Manual,HatchBack,420000
1432,Renault TRIBER,2022,1675,1,PETROL,GJ-27,Manual,SUV,659000
1433,Maruti Wagon R 1.0,2014,99368,2,CNG,MH-04,Manual,HatchBack,382000
1434,Maruti Swift Dzire,2012,43806,1,CNG,HR-51,Manual,Sedan,553000
1435,Hyundai NEW SANTRO,2019,22281,1,PETROL,PB-39,Manual,HatchBack,471000
1436,Maruti Ciaz,2018,63411,2,PETROL,TN-22,Manual,Sedan,697000
1437,Maruti New Wagon-R,2020,36518,1,CNG,DL-2C,Manual,HatchBack,565000
1438,Hyundai Verna,2014,47609,1,PETROL,KA-01,Manual,Sedan,614000
1439,Honda City,2020,19163,1,PETROL,PB-65,Automatic,Sedan,1145000
1440,Maruti IGNIS,2017,26207,1,PETROL,DL-8C,Manual,HatchBack,531000
1441,Renault Duster,2021,28035,1,PETROL,MH-14,Manual,SUV,1129000
1442,Honda WR-V,2017,59266,1,DIESEL,HR-29,Manual,SUV,764000
1443,Hyundai VENUE,2019,12234,1,PETROL,KA-53,Manual,SUV,988000
1444,Skoda Rapid,2020,55601,1,PETROL,DL-10,Automatic,Sedan,891750
1445,Hyundai i20,2012,43690,1,PETROL,DL-3C,Manual,HatchBack,322000
1446,Hyundai Santro Xing,2013,63686,1,CNG,DL-9C,Manual,HatchBack,243000
1447,Maruti Dzire,2018,79277,2,PETROL,DL-6C,Manual,Sedan,563000
1448,Maruti S Cross,2020,27653,1,PETROL,TS-09,Automatic,SUV,1067000
1449,Hyundai Grand i10,2016,47118,1,PETROL,UP-78,Manual,HatchBack,402000
1450,Maruti Swift Dzire,2013,50688,2,PETROL,MH-04,Manual,Sedan,625000
1451,Maruti Celerio,2017,12190,1,PETROL,MH-01,Manual,HatchBack,422000
1452,Honda City,2016,43028,2,PETROL,GJ-27,Manual,Sedan,715000
1453,Hyundai Verna,2013,47036,3,PETROL,HR-26,Automatic,Sedan,561000
1454,Maruti Swift,2015,45513,1,PETROL,KA-51,Manual,HatchBack,554000
1455,Maruti Alto 800,2015,30073,1,PETROL,WB-24,Manual,HatchBack,221000
1456,Maruti Wagon R 1.0,2013,91405,1,PETROL,AP-28,Manual,HatchBack,324000
1457,Honda Amaze,2019,43774,1,PETROL,GJ-23,Manual,Sedan,604000
1458,Hyundai Elite i20,2020,32667,1,PETROL,MH-03,Manual,HatchBack,662000
1459,Maruti Swift,2021,15218,1,PETROL,PB-08,Manual,HatchBack,680000
1460,Hyundai GRAND I10 NIOS,2019,76947,1,PETROL,TS-10,Automatic,HatchBack,726000
1461,Maruti Dzire,2017,80281,1,PETROL,TN-10,Manual,Sedan,668000
1462,Hyundai Elite i20,2016,84135,2,PETROL,MP-04,Manual,HatchBack,513000
1463,Hyundai Verna,2019,56376,1,PETROL,KA-51,Manual,Sedan,593000
1464,Tata Tiago,2022,38158,1,CNG,MH-12,Manual,HatchBack,803000
1465,Hyundai Grand i10,2019,89381,1,CNG,DL-3C,Manual,HatchBack,547000
1466,Maruti New Wagon-R,2020,15440,2,PETROL,WB-20,Automatic,HatchBack,497000
1467,Maruti Alto,2022,23867,1,PETROL,UP-25,Manual,HatchBack,389000
1468,Honda City,2016,54056,1,PETROL,TN-38,Manual,Sedan,718000
1469,Hyundai Creta,2016,113371,1,DIESEL,TS-08,Manual,SUV,848000
1470,Maruti Swift,2017,30866,1,PETROL,MH-43,Manual,HatchBack,564000
1471,Tata Tiago,2016,61415,2,PETROL,KA-52,Manual,HatchBack,445000
1472,Maruti Wagon R 1.0,2017,23885,1,PETROL,TN-68,Manual,HatchBack,441000
1473,Maruti Dzire,2017,44270,2,PETROL,KA-51,Automatic,Sedan,674000
1474,Honda Amaze,2018,61530,3,PETROL,MH-02,Manual,Sedan,331000
1475,Maruti Alto 800,2015,24509,1,PETROL,UP-14,Manual,HatchBack,251000
1476,Hyundai Elite i20,2016,17666,2,PETROL,WB-24,Manual,HatchBack,559000
1477,Maruti Baleno,2017,36540,1,PETROL,WB-26,Manual,HatchBack,447000
1478,Maruti Alto 800,2018,37811,1,PETROL,TS-09,Manual,HatchBack,317000
1479,Tata Tiago,2021,12305,1,PETROL,MH-05,Automatic,HatchBack,673000
1480,Honda City,2018,11406,1,PETROL,MH-12,Manual,Sedan,766000
1481,Maruti Dzire,2017,60988,1,DIESEL,KA-41,Manual,Sedan,893000
1482,Maruti Celerio,2014,87970,2,CNG,MH-46,Manual,HatchBack,349000
1483,Honda BR-V,2019,10319,1,PETROL,DL-7C,Manual,SUV,1035000
1484,KIA SELTOS,2020,20357,1,PETROL,CH-01,Manual,SUV,1158000
1485,Hyundai Elite i20,2017,28696,1,PETROL,MH-05,Manual,HatchBack,543000
1486,Honda Jazz,2016,60223,2,PETROL,KA-03,Automatic,HatchBack,623000
1487,Maruti Alto 800,2013,59812,2,PETROL,KL-43,Manual,HatchBack,198000
1488,Maruti Alto,2020,75591,1,CNG,KA-17,Manual,HatchBack,430000
1489,Hyundai i20,2013,32679,2,PETROL,DL-3C,Manual,HatchBack,355000
1490,Maruti Alto K10,2015,36627,1,PETROL,HR-03,Manual,HatchBack,302000
1491,Maruti Celerio,2020,31599,1,PETROL,GJ-03,Manual,HatchBack,488000
1492,Maruti Ciaz,2018,80010,2,PETROL,PB-70,Manual,Sedan,678000
1493,Hyundai New Elantra,2017,42802,1,PETROL,GJ-06,Automatic,Lux_sedan,962000
1494,Maruti Swift,2014,43342,2,DIESEL,HR-77,Manual,HatchBack,389000
1495,Hyundai Elite i20,2017,116263,3,DIESEL,GJ-38,Manual,HatchBack,611000
1496,Honda Jazz,2019,30505,1,PETROL,TN-14,Automatic,HatchBack,771000
1497,Hyundai Grand i10,2016,74335,2,PETROL,GJ-01,Manual,HatchBack,429000
1498,Maruti Ciaz,2018,122864,2,DIESEL,KA-02,Manual,Sedan,803000
1499,Volkswagen Polo,2020,73545,1,PETROL,TS-15,Manual,HatchBack,573000
1500,Maruti Alto K10,2018,89919,1,PETROL,KA-04,Manual,HatchBack,333000
1501,Honda WR-V,2018,77767,2,PETROL,TN-10,Manual,SUV,646800
1502,Tata Tiago,2022,13934,1,CNG,MH-14,Manual,HatchBack,712500
1503,Maruti S PRESSO,2020,19126,1,CNG,MH-46,Manual,HatchBack,496000
1504,Maruti Alto 800,2018,21047,1,PETROL,DL-3C,Manual,HatchBack,304000
1505,Maruti Celerio,2017,86000,2,CNG,MH-01,Manual,HatchBack,484000
1506,Renault Kwid,2020,46416,1,PETROL,KL-29,Manual,HatchBack,437000
1507,Maruti Wagon R 1.0,2018,32594,2,PETROL,HR-87,Manual,HatchBack,379000
1508,Hyundai Grand i10,2014,38709,1,PETROL,MH-14,Manual,HatchBack,413000
1509,Maruti Baleno,2018,106711,2,PETROL,,Automatic,HatchBack,596000
1510,Hyundai AURA,2020,59897,1,PETROL,KA-05,Manual,Sedan,572000
1511,Renault Duster,2016,85849,2,DIESEL,KA-53,Automatic,SUV,763000
1512,Maruti Alto 800,2018,18047,1,PETROL,GJ-01,Manual,HatchBack,306000
1513,Renault Kwid,2020,46710,1,PETROL,MH-14,Automatic,HatchBack,531000
1514,Maruti Wagon R 1.0,2016,70732,1,PETROL,KA-50,Automatic,HatchBack,427000
1515,Maruti New Wagon-R,2019,40767,1,CNG,UP-14,Manual,HatchBack,545000
1516,Maruti Swift,2011,82830,2,PETROL,KA-05,Manual,HatchBack,344000
1517,Maruti Baleno,2021,21868,2,PETROL,RJ-45,Manual,HatchBack,630300
1518,Hyundai i20,2013,74743,2,PETROL,AP-28,Manual,HatchBack,397000
1519,Honda City,2016,38491,1,PETROL,UP-16,Manual,Sedan,400000
1520,Maruti Dzire,2019,93813,1,DIESEL,MH-47,Automatic,Sedan,574000
1521,Maruti Dzire,2018,26983,1,PETROL,HR-26,Manual,Sedan,673000
1522,Maruti Swift,2019,32679,2,PETROL,TN-07,Manual,HatchBack,635000
1523,Maruti Swift,2015,42303,2,PETROL,TN-14,Manual,HatchBack,471000
1524,Hyundai Grand i10,2019,40434,1,PETROL,PB-07,Manual,HatchBack,573000
1525,Maruti Wagon R 1.0,2018,69523,1,PETROL,TS-07,Manual,HatchBack,422000
1526,Renault Kiger,2021,9862,2,PETROL,RJ-18,Manual,HatchBack,815000
1527,Hyundai Creta,2017,60956,1,PETROL,MH-01,Automatic,SUV,954000
1528,Honda City,2021,15992,1,PETROL,TS-08,Manual,Sedan,945000
1529,Maruti S Cross,2020,29648,2,PETROL,UP-16,Manual,SUV,939000
1530,Maruti Baleno,2019,43237,1,PETROL,UP-32,Manual,HatchBack,682000
1531,Hyundai Grand i10,2014,62639,2,DIESEL,TN-07,Manual,HatchBack,429000
1532,Maruti New Wagon-R,2021,33652,1,CNG,DL-9C,Manual,HatchBack,575000
1533,Hyundai Elite i20,2018,44165,2,PETROL,DL-4C,Manual,HatchBack,573000
1534,Hyundai Verna,2015,94033,2,DIESEL,KA-19,Automatic,Sedan,613000
1535,Maruti Swift Dzire,2011,83320,2,DIESEL,KA-03,Manual,Sedan,396000
1536,Maruti New Wagon-R,2020,42154,1,PETROL,GJ-05,Manual,HatchBack,508000
1537,Maruti Ciaz,2015,44220,2,PETROL,GJ-01,Automatic,Sedan,564000
1538,Maruti Alto,2019,63515,1,CNG,RJ-05,Manual,HatchBack,357000
1539,Hyundai Eon,2014,23518,2,PETROL,MH-02,Manual,HatchBack,239000
1540,Honda Brio,2012,54288,1,PETROL,HR-51,Manual,HatchBack,229000
1541,Hyundai i20,2013,95885,1,PETROL,MH-12,Manual,HatchBack,392000
1542,Maruti Swift,2017,10991,1,PETROL,MH-05,Manual,HatchBack,530000
1543,Honda Amaze,2017,55427,1,PETROL,DL-10,Manual,Sedan,526000
1544,Nissan Micra Active,2018,47009,1,PETROL,TN-09,Manual,HatchBack,485000
1545,Hyundai Xcent,2015,114678,1,PETROL,,Manual,Sedan,617000
1546,Maruti Wagon R 1.0,2017,75047,1,PETROL,DL-1C,Manual,HatchBack,337000
1547,Hyundai i10,2011,87568,1,PETROL,KL-54,Manual,HatchBack,218000
1548,Ford Ecosport,2021,63357,1,DIESEL,UP-42,Manual,SUV,874000
1549,Mahindra XUV500,2017,81120,1,DIESEL,KA-01,Manual,Lux_SUV,1077000
1550,Toyota YARIS,2021,44321,1,CNG,UP-32,Manual,Sedan,814000
1551,Maruti Vitara Brezza,2019,26769,1,DIESEL,UP-32,Automatic,SUV,833000
1552,Maruti Alto,2020,46607,1,PETROL,RJ-45,Manual,HatchBack,380000
1553,Maruti S Cross,2020,19475,2,PETROL,HR-26,Automatic,SUV,942000
1554,Maruti Celerio,2015,56150,1,PETROL,KA-05,Automatic,HatchBack,451000
1555,Honda Amaze,2019,54034,1,PETROL,GJ-01,Manual,Sedan,600000
1556,Ford Ecosport,2017,14241,1,PETROL,DL-10,Manual,SUV,699000
1557,Maruti Alto,2019,53976,1,PETROL,TS-10,Manual,HatchBack,352000
1558,Maruti Alto 800,2015,88047,1,PETROL,HR-14,Manual,HatchBack,253000
1559,Renault Kwid,2019,55317,1,PETROL,TN-11,Manual,HatchBack,459000
1560,Hyundai Creta,2017,47556,1,PETROL,DL-10,Manual,SUV,792000
1561,Toyota Corolla Altis,2018,51848,2,DIESEL,HR-51,Manual,Lux_sedan,1102000
1562,Mahindra Kuv100,2016,90494,1,DIESEL,TN-14,Manual,SUV,416000
1563,Maruti Swift,2011,73738,2,PETROL,DL-3C,Manual,HatchBack,240000
1564,Maruti Swift Dzire,2014,58833,2,PETROL,KA-51,Manual,Sedan,490000
1565,Hyundai Elite i20,2018,44946,1,PETROL,GJ-16,Manual,HatchBack,579000
1566,Maruti New Wagon-R,2022,13642,1,PETROL,UP-78,Manual,HatchBack,642000
1567,Renault Kwid,2019,30385,1,PETROL,HR-51,Manual,HatchBack,355000
1568,Tata Safari,2021,30198,1,DIESEL,TS-15,Manual,SUV,1828000
1569,KIA SELTOS,2019,83004,1,PETROL,TN-23,Automatic,SUV,1416000
1570,Maruti Baleno,2017,80830,1,PETROL,KA-03,Manual,HatchBack,698000
1571,Maruti IGNIS,2021,22244,1,PETROL,WB-08,Manual,HatchBack,481000
1572,Hyundai Eon,2013,96763,1,PETROL,MH-02,Manual,HatchBack,229000
1573,Maruti Baleno,2018,52716,2,PETROL,TS-08,Manual,HatchBack,651000
1574,Maruti Ritz,2012,118173,2,DIESEL,AP-28,Manual,HatchBack,313000
1575,Hyundai Grand i10,2017,17815,1,PETROL,DL-9C,Manual,HatchBack,447000
1576,Hyundai Elite i20,2014,106479,1,PETROL,,Manual,HatchBack,416000
1577,Volkswagen Vento,2011,26218,1,PETROL,HR-26,Automatic,Sedan,802000
1578,Maruti IGNIS,2017,48405,1,PETROL,UP-72,Manual,HatchBack,407000
1579,Hyundai Eon,2018,19450,1,PETROL,GJ-05,Manual,HatchBack,311000
1580,Volkswagen Vento,2016,50500,2,PETROL,TN-02,Manual,Sedan,575000
1581,KIA SELTOS,2020,21847,1,PETROL,UP-78,Manual,SUV,964000
1582,Honda WR-V,2019,45978,2,DIESEL,TS-16,Manual,SUV,755000
1583,Maruti S PRESSO,2021,10218,1,PETROL,KA-17,Manual,HatchBack,512000
1584,Honda WR-V,2017,40959,1,PETROL,KA-05,Manual,SUV,790000
1585,Mahindra KUV 100 NXT,2019,5337,1,PETROL,KA-53,Manual,SUV,563000
1586,Maruti Baleno,2021,40380,1,CNG,HR-26,Automatic,HatchBack,812000
1587,Maruti IGNIS,2017,59293,1,PETROL,HR-26,Automatic,HatchBack,577000
1588,Maruti Dzire,2021,13324,1,PETROL,TN-58,Manual,Sedan,705000
1589,Hyundai Elite i20,2016,115440,1,DIESEL,GJ-27,Manual,HatchBack,603000
1590,Hyundai Verna,2012,79482,1,PETROL,KA-09,Manual,Sedan,507000
1591,Maruti Wagon R 1.0,2014,45852,2,PETROL,TS-12,Manual,HatchBack,337000
1592,Volkswagen Ameo,2019,45441,2,PETROL,MH-14,Manual,Sedan,527000
1593,Maruti Alto 800,2013,99427,2,PETROL,KA-03,Manual,HatchBack,227000
1594,Maruti Celerio,2018,7516,1,PETROL,WB-02,Manual,HatchBack,431000
1595,Maruti Baleno,2020,60810,1,CNG,HR-87,Manual,HatchBack,627000
1596,Honda City,2012,44164,1,PETROL,MH-12,Automatic,Sedan,464000
1597,Maruti Ciaz,2018,70211,1,PETROL,MH-12,Manual,Sedan,600000
1598,Maruti Swift,2015,78709,1,PETROL,DL-9C,Manual,HatchBack,393000
1599,Skoda Rapid,2020,30761,1,PETROL,DL-10,Manual,Sedan,897000
1600,Honda City,2011,26757,1,CNG,PB-27,Manual,Sedan,735000
1601,Honda Brio,2014,77469,1,PETROL,TN-14,Automatic,HatchBack,408000
1602,Maruti Swift Dzire,2015,53282,2,DIESEL,MH-14,Automatic,Sedan,836000
1603,Toyota YARIS,2019,30460,1,PETROL,CH-01,Manual,Sedan,720000
1604,Maruti Baleno,2021,19503,2,PETROL,HR-26,Manual,HatchBack,746000
1605,Maruti XL6,2022,44809,1,PETROL,UP-32,Manual,SUV,1156000
1606,Hyundai i20,2012,91703,1,PETROL,AP-28,Manual,HatchBack,460000
1607,Ford Ecosport,2014,76517,2,DIESEL,MH-03,Manual,SUV,495000
1608,Maruti Wagon R 1.0,2014,49093,1,PETROL,PB-10,Manual,HatchBack,308650
1609,Maruti Baleno,2019,20818,1,PETROL,RJ-18,Manual,HatchBack,613000
1610,KIA SELTOS,2020,94998,1,DIESEL,KA-05,Automatic,SUV,1462000
1611,Hyundai Tucson New,2017,53047,2,PETROL,HR-26,Manual,Lux_SUV,1154000
1612,Maruti Swift Dzire,2013,62088,2,PETROL,TN-07,Manual,Sedan,586000
1613,Hyundai i20,2011,72523,1,PETROL,HR-26,Manual,HatchBack,209000
1614,Maruti Ciaz,2022,21284,1,PETROL,MH-03,Automatic,Sedan,910000
1615,Hyundai Xcent,2015,41544,2,PETROL,WB-08,Manual,Sedan,326000
1616,Maruti Swift,2014,34551,2,PETROL,DL-1C,Manual,HatchBack,375000
1617,Maruti Alto 800,2017,32328,1,PETROL,TN-02,Manual,HatchBack,322000
1618,Tata NEXON,2019,67271,1,DIESEL,KA-05,Manual,SUV,831000
1619,Maruti Baleno,2017,67286,1,PETROL,HR-51,Manual,HatchBack,506000
1620,Honda Amaze,2016,62072,2,DIESEL,MH-05,Manual,Sedan,505000
1621,Maruti Wagon R 1.0,2016,61981,2,PETROL,MH-12,Automatic,HatchBack,426000
1622,Maruti Dzire,2018,30303,1,PETROL,KA-03,Manual,Sedan,557000
1623,Hyundai AURA,2020,98983,1,PETROL,TS-11,Automatic,Sedan,825000
1624,Hyundai Creta,2016,95696,1,PETROL,DL-10,Manual,SUV,733000
1625,Hyundai Grand i10,2018,28266,1,PETROL,TS-13,Manual,HatchBack,521000
1626,Maruti Dzire,2018,43424,2,DIESEL,GJ-27,Manual,Sedan,663000
1627,Maruti Ciaz,2020,27344,1,PETROL,HR-87,Manual,Sedan,875000
1628,Hyundai Elite i20,2015,47753,2,PETROL,MH-46,Manual,HatchBack,470000
1629,Honda City,2014,74493,2,DIESEL,MH-04,Manual,Sedan,606000
1630,Tata Tiago,2019,53263,1,PETROL,HR-72,Manual,HatchBack,480000
1631,KIA SONET,2020,70052,1,DIESEL,CH-01,Automatic,SUV,1091000
1632,Hyundai NEW SANTRO,2021,16502,1,PETROL,KA-14,Manual,HatchBack,520000
1633,Maruti Celerio X,2018,82558,1,PETROL,RJ-45,Manual,HatchBack,520000
1634,Maruti Ciaz,2017,84866,1,DIESEL,RJ-14,Manual,Sedan,656000
1635,Maruti Wagon R 1.0,2014,76461,3,CNG,MH-46,Manual,HatchBack,301000
1636,Tata Tiago,2017,29594,1,PETROL,TN-06,Automatic,HatchBack,524000
1637,Hyundai Creta,2016,67621,1,PETROL,KA-03,Manual,SUV,878000
1638,Nissan MAGNITE,2021,54526,1,PETROL,BR-06,Manual,SUV,722000
1639,Maruti Alto 800,2012,48775,2,PETROL,KA-05,Manual,HatchBack,255000
1640,Maruti Wagon R 1.0,2012,61195,2,PETROL,BR-31,Manual,HatchBack,254000
1641,Hyundai Santro Xing,2012,60738,1,PETROL,KA-02,Manual,HatchBack,274000
1642,Datsun Go,2017,30774,2,PETROL,KA-05,Manual,HatchBack,302000
1643,Honda City,2018,48978,1,PETROL,UP-32,Manual,Sedan,807000
1644,Hyundai Creta,2016,67437,2,PETROL,WB-02,Automatic,SUV,729000
1645,Maruti Wagon R 1.0,2016,45675,1,PETROL,WB-26,Manual,HatchBack,326000
1646,Maruti Alto K10,2014,21670,1,PETROL,DL-1C,Manual,HatchBack,237350
1647,Hyundai NEW SANTRO,2019,27792,1,CNG,DL-8C,Manual,HatchBack,604000
1648,Maruti Wagon R 1.0,2010,86967,1,PETROL,DL-3C,Manual,HatchBack,156000
1649,Volkswagen Ameo,2017,19454,1,PETROL,MH-04,Automatic,Sedan,1005000
1650,Hyundai i10,2011,82055,1,PETROL,MH-12,Manual,HatchBack,299000
1651,Renault Kwid,2016,16528,2,PETROL,MH-12,Manual,HatchBack,378000
1652,Maruti Baleno,2017,27436,1,PETROL,TN-07,Manual,HatchBack,606000
1653,Maruti Wagon R 1.0,2014,52685,1,CNG,MH-46,Manual,HatchBack,346000
1654,Renault Kiger,2021,19142,1,PETROL,TN-85,Automatic,HatchBack,926000
1655,Hyundai Creta,2015,58313,1,DIESEL,MH-47,Manual,SUV,878000
1656,Maruti Celerio X,2018,63528,1,PETROL,TS-08,Automatic,HatchBack,495000
1657,Maruti Swift,2012,48005,1,PETROL,UP-14,Manual,HatchBack,313000
1658,Maruti Alto K10,2016,73344,3,PETROL,TS-02,Manual,HatchBack,298000
1659,Honda Jazz,2017,70602,1,PETROL,KA-02,Automatic,HatchBack,707000
1660,Maruti Swift,2017,105133,1,DIESEL,TS-07,Manual,HatchBack,593000
1661,Renault Kwid,2017,52520,2,PETROL,KA-04,Automatic,HatchBack,385000
1662,Hyundai Eon,2014,48407,1,PETROL,TN-43,Manual,HatchBack,293000
1663,Maruti Celerio X,2017,23991,1,PETROL,MH-04,Manual,HatchBack,463000
1664,Maruti Dzire,2018,16568,1,PETROL,HR-29,Automatic,Sedan,615000
1665,Hyundai Creta,2018,71658,1,PETROL,DL-8C,Automatic,SUV,986000
1666,Maruti Celerio,2022,3742,1,PETROL,UP-78,Manual,HatchBack,605000
1667,Hyundai Xcent,2015,75360,1,PETROL,MH-49,Manual,Sedan,401000
1668,Hyundai Grand i10,2016,46894,3,PETROL,KA-01,Manual,HatchBack,488000
1669,Maruti Celerio,2018,23405,1,PETROL,TS-15,Manual,HatchBack,483000
1670,Maruti Swift Dzire,2015,69690,1,PETROL,DL-12,Automatic,Sedan,932000
1671,Maruti Swift,2018,55483,1,PETROL,DL-1C,Manual,HatchBack,495000
1672,Maruti New Wagon-R,2021,17189,1,CNG,DL-3C,Manual,HatchBack,599000
1673,Maruti Swift,2013,92389,2,DIESEL,AP-22,Manual,HatchBack,401000
1674,Hyundai Grand i10,2017,35740,1,PETROL,MH-12,Manual,HatchBack,526000
1675,Nissan Micra Active,2019,26274,1,PETROL,TN-07,Manual,HatchBack,526000
1676,Nissan MAGNITE,2022,11850,1,PETROL,PB-27,Manual,SUV,718000
1677,Maruti Celerio,2018,70689,1,PETROL,KL-40,Automatic,HatchBack,495000
1678,Maruti Baleno,2021,36798,1,PETROL,HR-87,Manual,HatchBack,674000
1679,Maruti Alto K10,2011,25928,1,PETROL,KA-05,Manual,HatchBack,248000
1680,Maruti S PRESSO,2020,82366,1,CNG,GJ-05,Manual,HatchBack,452000
1681,Hyundai Creta,2016,50947,1,PETROL,DL-3C,Manual,SUV,792000
1682,Hyundai i10,2011,108793,2,PETROL,,Manual,HatchBack,267000
1683,Maruti Celerio,2015,96295,2,CNG,DL-6C,Automatic,HatchBack,332000
1684,Hyundai Elite i20,2018,42849,1,PETROL,RJ-45,Manual,HatchBack,554000
1685,Datsun Redi Go,2016,10724,1,PETROL,MH-01,Manual,HatchBack,253000
1686,Datsun Go Plus,2018,44386,1,PETROL,TN-45,Manual,HatchBack,429000
1687,Renault TRIBER,2020,25179,2,PETROL,KA-02,Manual,SUV,619000
1688,Mahindra XUV500,2019,95338,1,DIESEL,UP-14,Manual,Lux_SUV,885000
1689,Renault Kwid,2017,85831,1,PETROL,KL-22,Manual,HatchBack,279000
1690,Honda Amaze,2014,94591,1,DIESEL,GJ-05,Manual,Sedan,480000
1691,Maruti Zen Estilo,2010,91626,1,PETROL,KL-01,Manual,HatchBack,163000
1692,Hyundai ALCAZAR,2021,22928,1,DIESEL,MH-04,Manual,SUV,1776000
1693,Toyota YARIS,2018,47140,2,PETROL,MH-01,Automatic,Sedan,621000
1694,Hyundai Verna,2018,78994,1,PETROL,DL-9C,Manual,Sedan,529000
1695,Maruti Swift Dzire,2015,66694,1,PETROL,DL-1C,Manual,Sedan,445000
1696,Renault Kiger,2021,19706,2,PETROL,RJ-18,Manual,HatchBack,786000
1697,Hyundai VENUE,2019,23797,2,DIESEL,DL-1C,Manual,SUV,827000
1698,Maruti Ciaz,2016,110103,1,DIESEL,KA-05,Manual,Sedan,650000
1699,Hyundai i20 Active,2018,120607,1,PETROL,,Manual,HatchBack,559000
1700,Renault TRIBER,2019,10175,1,PETROL,WB-10,Manual,SUV,614000
1701,Honda City,2017,45915,1,PETROL,MH-12,Manual,Sedan,874000
1702,Maruti Celerio,2018,55847,1,PETROL,HR-20,Manual,HatchBack,457000
1703,Hyundai Elite i20,2016,47045,1,PETROL,TN-20,Manual,HatchBack,648000
1704,Hyundai Elite i20,2015,58583,1,PETROL,TS-07,Manual,HatchBack,504000
1705,Hyundai Elite i20,2017,37701,1,PETROL,DL-1C,Manual,HatchBack,512000
1706,Hyundai Verna,2018,95329,1,PETROL,RJ-45,Manual,Sedan,843000
1707,BMW 3 Series,2013,153870,3,DIESEL,CH-01,Automatic,Lux_sedan,1005000
1708,Hyundai Xcent,2014,57000,1,PETROL,BR-01,Manual,Sedan,340000
1709,Maruti Ertiga,2015,71877,2,PETROL,KA-25,Manual,SUV,708000
1710,Hyundai Elite i20,2019,39839,1,PETROL,PB-10,Automatic,HatchBack,861000
1711,Maruti Swift,2010,115008,1,PETROL,,Manual,HatchBack,212000
1712,Volkswagen Vento,2018,43119,2,PETROL,UP-16,Automatic,Sedan,825000
1713,Hyundai Xcent,2019,58973,1,PETROL,BR-01,Manual,Sedan,334000
1714,Maruti Swift,2018,61326,1,PETROL,DL-2C,Automatic,HatchBack,616000
1715,Maruti S PRESSO,2020,11274,2,PETROL,UP-32,Manual,HatchBack,397750
1716,Maruti Baleno,2017,74006,1,PETROL,WB-02,Manual,HatchBack,413000
1717,Hyundai NEW SANTRO,2021,15869,1,PETROL,MH-40,Automatic,HatchBack,539000
